Year,Census Type,Organisation Unit Number,Organisation Unit Name,Age Group,Number of Students (Persons),Number of Students (FTE)
2012,TERM 3,0536,Aberfoyle Hub R-7 School,13-17 years,12,12.0
2012,TERM 3,0536,Aberfoyle Hub R-7 School,8 and Under,176,176.0
2012,TERM 3,0536,Aberfoyle Hub R-7 School,9-12 Years,180,180.0
2012,TERM 3,1673,Aberfoyle Park High School,13-17 years,1006,990.0
2012,TERM 3,1673,Aberfoyle Park High School,18 and Over,38,37.5
2012,TERM 3,1673,Aberfoyle Park High School,9-12 Years,8,8.0
2012,TERM 3,0768,Adelaide High School,13-17 years,1192,1190.1
2012,TERM 3,0768,Adelaide High School,18 and Over,60,59.8
2012,TERM 3,0768,Adelaide High School,9-12 Years,1,1.0
2012,TERM 3,1686,Adelaide Secondary School of English,13-17 years,370,370.0
2012,TERM 3,1686,Adelaide Secondary School of English,18 and Over,7,7.0
2012,TERM 3,1686,Adelaide Secondary School of English,9-12 Years,24,24.0
2012,TERM 3,1414,Adelaide West Special Education Ctr,13-17 years,29,28.2
2012,TERM 3,1414,Adelaide West Special Education Ctr,18 and Over,15,15.0
2012,TERM 3,1414,Adelaide West Special Education Ctr,8 and Under,25,24.8
2012,TERM 3,1414,Adelaide West Special Education Ctr,9-12 Years,12,12.0
2012,TERM 3,0980,Airdale Primary School,13-17 years,5,5.0
2012,TERM 3,0980,Airdale Primary School,8 and Under,50,50.0
2012,TERM 3,0980,Airdale Primary School,9-12 Years,68,68.0
2012,TERM 3,0202,Alberton Primary School,13-17 years,6,6.0
2012,TERM 3,0202,Alberton Primary School,8 and Under,131,131.0
2012,TERM 3,0202,Alberton Primary School,9-12 Years,125,125.0
2012,TERM 3,0210,Aldgate Primary School,13-17 years,6,6.0
2012,TERM 3,0210,Aldgate Primary School,8 and Under,128,128.0
2012,TERM 3,0210,Aldgate Primary School,9-12 Years,75,75.0
2012,TERM 3,0222,Aldinga Beach R-7 School,13-17 years,18,18.0
2012,TERM 3,0222,Aldinga Beach R-7 School,8 and Under,313,313.0
2012,TERM 3,0222,Aldinga Beach R-7 School,9-12 Years,325,323.8
2012,TERM 3,0473,Allenby Gardens Primary School,13-17 years,11,11.0
2012,TERM 3,0473,Allenby Gardens Primary School,8 and Under,246,246.0
2012,TERM 3,0473,Allenby Gardens Primary School,9-12 Years,179,178.5
2012,TERM 3,0751,Allendale East Area School,13-17 years,59,59.0
2012,TERM 3,0751,Allendale East Area School,18 and Over,2,2.0
2012,TERM 3,0751,Allendale East Area School,8 and Under,75,75.0
2012,TERM 3,0751,Allendale East Area School,9-12 Years,60,60.0
2012,TERM 3,1001,Amata Anangu School,13-17 years,39,39.0
2012,TERM 3,1001,Amata Anangu School,18 and Over,1,1.0
2012,TERM 3,1001,Amata Anangu School,8 and Under,42,42.0
2012,TERM 3,1001,Amata Anangu School,9-12 Years,31,31.0
2012,TERM 3,0509,Andamooka Primary School,8 and Under,18,18.0
2012,TERM 3,0509,Andamooka Primary School,9-12 Years,9,9.0
2012,TERM 3,0242,Angaston Primary School,13-17 years,5,5.0
2012,TERM 3,0242,Angaston Primary School,8 and Under,137,137.0
2012,TERM 3,0242,Angaston Primary School,9-12 Years,132,132.0
2012,TERM 3,0255,Angle Vale Primary School,13-17 years,5,5.0
2012,TERM 3,0255,Angle Vale Primary School,8 and Under,222,222.0
2012,TERM 3,0255,Angle Vale Primary School,9-12 Years,159,159.0
2012,TERM 3,0732,Ardrossan Area School,13-17 years,64,61.5
2012,TERM 3,0732,Ardrossan Area School,18 and Over,2,1.6
2012,TERM 3,0732,Ardrossan Area School,8 and Under,59,59.0
2012,TERM 3,0732,Ardrossan Area School,9-12 Years,64,64.0
2012,TERM 3,1540,Ardtornish Primary School,13-17 years,7,7.0
2012,TERM 3,1540,Ardtornish Primary School,8 and Under,211,211.0
2012,TERM 3,1540,Ardtornish Primary School,9-12 Years,227,227.0
2012,TERM 3,0340,Ascot Park Primary School,13-17 years,1,1.0
2012,TERM 3,0340,Ascot Park Primary School,8 and Under,68,68.0
2012,TERM 3,0340,Ascot Park Primary School,9-12 Years,96,96.0
2012,TERM 3,1284,Athelstone Junior Primary School,8 and Under,138,138.0
2012,TERM 3,0419,Athelstone School,13-17 years,7,7.0
2012,TERM 3,0419,Athelstone School,8 and Under,38,38.0
2012,TERM 3,0419,Athelstone School,9-12 Years,152,152.0
2012,TERM 3,0425,Auburn Primary School,13-17 years,1,1.0
2012,TERM 3,0425,Auburn Primary School,8 and Under,29,29.0
2012,TERM 3,0425,Auburn Primary School,9-12 Years,23,23.0
2012,TERM 3,0990,Augusta Park Primary School,13-17 years,6,6.0
2012,TERM 3,0990,Augusta Park Primary School,8 and Under,155,155.0
2012,TERM 3,0990,Augusta Park Primary School,9-12 Years,119,119.0
2012,TERM 3,1800,Australian Science & Mathematics Sch,13-17 years,331,326.0
2012,TERM 3,1800,Australian Science & Mathematics Sch,18 and Over,27,25.4
2012,TERM 3,0769,Balaklava High School,13-17 years,331,328.4
2012,TERM 3,0769,Balaklava High School,18 and Over,26,19.2
2012,TERM 3,0477,Balaklava Primary School,13-17 years,8,8.0
2012,TERM 3,0477,Balaklava Primary School,8 and Under,114,114.0
2012,TERM 3,0477,Balaklava Primary School,9-12 Years,121,121.0
2012,TERM 3,1117,Banksia Park International HS,13-17 years,622,621.2
2012,TERM 3,1117,Banksia Park International HS,18 and Over,27,25.6
2012,TERM 3,1117,Banksia Park International HS,9-12 Years,1,1.0
2012,TERM 3,1015,Banksia Park Primary School,13-17 years,7,7.0
2012,TERM 3,1015,Banksia Park Primary School,8 and Under,94,94.0
2012,TERM 3,1015,Banksia Park Primary School,9-12 Years,108,108.0
2012,TERM 3,0506,Barmera Primary School,13-17 years,4,4.0
2012,TERM 3,0506,Barmera Primary School,8 and Under,125,125.0
2012,TERM 3,0506,Barmera Primary School,9-12 Years,134,134.0
2012,TERM 3,0511,Basket Range Primary School,13-17 years,3,3.0
2012,TERM 3,0511,Basket Range Primary School,8 and Under,21,21.0
2012,TERM 3,0511,Basket Range Primary School,9-12 Years,18,18.0
2012,TERM 3,0519,Beachport Primary School,8 and Under,26,26.0
2012,TERM 3,0519,Beachport Primary School,9-12 Years,21,21.0
2012,TERM 3,1290,Belair Junior Primary School,8 and Under,209,209.0
2012,TERM 3,1290,Belair Junior Primary School,9-12 Years,1,1.0
2012,TERM 3,0524,Belair Primary School,13-17 years,12,12.0
2012,TERM 3,0524,Belair Primary School,8 and Under,52,52.0
2012,TERM 3,0524,Belair Primary School,9-12 Years,261,261.0
2012,TERM 3,1136,Bellevue Heights Primary School,13-17 years,3,3.0
2012,TERM 3,1136,Bellevue Heights Primary School,8 and Under,113,113.0
2012,TERM 3,1136,Bellevue Heights Primary School,9-12 Years,103,103.0
2012,TERM 3,0532,Berri Primary School,13-17 years,9,9.0
2012,TERM 3,0532,Berri Primary School,8 and Under,156,156.0
2012,TERM 3,0532,Berri Primary School,9-12 Years,173,173.0
2012,TERM 3,0770,Birdwood High School,13-17 years,590,588.1
2012,TERM 3,0770,Birdwood High School,18 and Over,20,19.0
2012,TERM 3,0770,Birdwood High School,9-12 Years,2,2.0
2012,TERM 3,0547,Birdwood Primary School,13-17 years,5,5.0
2012,TERM 3,0547,Birdwood Primary School,8 and Under,84,84.0
2012,TERM 3,0547,Birdwood Primary School,9-12 Years,109,109.0
2012,TERM 3,0548,Black Forest Primary School,13-17 years,13,13.0
2012,TERM 3,0548,Black Forest Primary School,8 and Under,243,243.0
2012,TERM 3,0548,Black Forest Primary School,9-12 Years,236,236.0
2012,TERM 3,0905,Blackwood High School,13-17 years,760,758.7
2012,TERM 3,0905,Blackwood High School,18 and Over,22,22.0
2012,TERM 3,0905,Blackwood High School,9-12 Years,1,1.0
2012,TERM 3,0565,Blackwood Primary School,13-17 years,9,9.0
2012,TERM 3,0565,Blackwood Primary School,8 and Under,101,101.0
2012,TERM 3,0565,Blackwood Primary School,9-12 Years,139,139.0
2012,TERM 3,1903,Blair Athol North School B-7,13-17 years,4,4.0
2012,TERM 3,1903,Blair Athol North School B-7,8 and Under,186,186.0
2012,TERM 3,1903,Blair Athol North School B-7,9-12 Years,177,177.0
2012,TERM 3,1854,Blakeview Primary School,13-17 years,12,12.0
2012,TERM 3,1854,Blakeview Primary School,8 and Under,226,226.0
2012,TERM 3,1854,Blakeview Primary School,9-12 Years,254,254.0
2012,TERM 3,0571,Blanchetown Primary School,13-17 years,1,1.0
2012,TERM 3,0571,Blanchetown Primary School,8 and Under,3,3.0
2012,TERM 3,0571,Blanchetown Primary School,9-12 Years,8,8.0
2012,TERM 3,0586,Blyth Primary School,13-17 years,1,1.0
2012,TERM 3,0586,Blyth Primary School,8 and Under,18,18.0
2012,TERM 3,0586,Blyth Primary School,9-12 Years,31,31.0
2012,TERM 3,0600,Booborowie Primary School,8 and Under,7,7.0
2012,TERM 3,0600,Booborowie Primary School,9-12 Years,8,8.0
2012,TERM 3,0771,Booleroo Centre District School,13-17 years,147,146.0
2012,TERM 3,0771,Booleroo Centre District School,18 and Over,4,3.8
2012,TERM 3,0771,Booleroo Centre District School,8 and Under,40,40.0
2012,TERM 3,0771,Booleroo Centre District School,9-12 Years,51,51.0
2012,TERM 3,0894,Bordertown High School,13-17 years,347,341.0
2012,TERM 3,0894,Bordertown High School,18 and Over,11,10.0
2012,TERM 3,0733,Bordertown Primary School,13-17 years,11,11.0
2012,TERM 3,0733,Bordertown Primary School,8 and Under,182,182.0
2012,TERM 3,0733,Bordertown Primary School,9-12 Years,228,228.0
2012,TERM 3,1418,Bowden Brompton Community School,13-17 years,117,116.2
2012,TERM 3,1418,Bowden Brompton Community School,18 and Over,4,4.0
2012,TERM 3,1418,Bowden Brompton Community School,9-12 Years,25,25.0
2012,TERM 3,1490,Braeview Junior Primary School,8 and Under,191,191.0
2012,TERM 3,1163,Braeview School R-7,13-17 years,16,16.0
2012,TERM 3,1163,Braeview School R-7,8 and Under,54,54.0
2012,TERM 3,1163,Braeview School R-7,9-12 Years,223,223.0
2012,TERM 3,0983,Brahma Lodge Primary School,13-17 years,8,8.0
2012,TERM 3,0983,Brahma Lodge Primary School,8 and Under,99,99.0
2012,TERM 3,0983,Brahma Lodge Primary School,9-12 Years,95,95.0
2012,TERM 3,0636,Bridgewater Primary School,13-17 years,3,3.0
2012,TERM 3,0636,Bridgewater Primary School,8 and Under,74,74.0
2012,TERM 3,0636,Bridgewater Primary School,9-12 Years,82,82.0
2012,TERM 3,0637,Brighton Primary School,13-17 years,24,24.0
2012,TERM 3,0637,Brighton Primary School,8 and Under,300,300.0
2012,TERM 3,0637,Brighton Primary School,9-12 Years,283,283.0
2012,TERM 3,0803,Brighton Secondary School,13-17 years,1347,1345.6
2012,TERM 3,0803,Brighton Secondary School,18 and Over,60,59.2
2012,TERM 3,0803,Brighton Secondary School,9-12 Years,5,5.0
2012,TERM 3,0752,Brinkworth Primary School,8 and Under,17,17.0
2012,TERM 3,0752,Brinkworth Primary School,9-12 Years,16,16.0
2012,TERM 3,0646,Brompton Primary School,13-17 years,7,7.0
2012,TERM 3,0646,Brompton Primary School,8 and Under,90,90.0
2012,TERM 3,0646,Brompton Primary School,9-12 Years,70,70.0
2012,TERM 3,0699,Burnside Primary School,13-17 years,15,15.0
2012,TERM 3,0699,Burnside Primary School,8 and Under,340,340.0
2012,TERM 3,0699,Burnside Primary School,9-12 Years,383,383.0
2012,TERM 3,1432,Burra Community School,13-17 years,83,81.8
2012,TERM 3,1432,Burra Community School,18 and Over,2,2.0
2012,TERM 3,1432,Burra Community School,8 and Under,80,80.0
2012,TERM 3,1432,Burra Community School,9-12 Years,68,68.0
2012,TERM 3,1844,Burton Primary School,13-17 years,16,16.0
2012,TERM 3,1844,Burton Primary School,8 and Under,209,209.0
2012,TERM 3,1844,Burton Primary School,9-12 Years,156,156.0
2012,TERM 3,0702,Bute Primary School,13-17 years,1,1.0
2012,TERM 3,0702,Bute Primary School,8 and Under,36,36.0
2012,TERM 3,0702,Bute Primary School,9-12 Years,23,23.0
2012,TERM 3,0704,Cadell Primary School,13-17 years,1,1.0
2012,TERM 3,0704,Cadell Primary School,8 and Under,11,11.0
2012,TERM 3,0704,Cadell Primary School,9-12 Years,18,18.0
2012,TERM 3,0705,Callington Primary School,13-17 years,3,3.0
2012,TERM 3,0705,Callington Primary School,8 and Under,55,55.0
2012,TERM 3,0705,Callington Primary School,9-12 Years,34,34.0
2012,TERM 3,0747,Cambrai Area School,13-17 years,14,14.0
2012,TERM 3,0747,Cambrai Area School,8 and Under,23,23.0
2012,TERM 3,0747,Cambrai Area School,9-12 Years,24,24.0
2012,TERM 3,0981,Carlton School,13-17 years,10,10.0
2012,TERM 3,0981,Carlton School,8 and Under,19,19.0
2012,TERM 3,0981,Carlton School,9-12 Years,29,29.0
2012,TERM 3,0734,Ceduna Area School,13-17 years,229,227.4
2012,TERM 3,0734,Ceduna Area School,18 and Over,6,6.0
2012,TERM 3,0734,Ceduna Area School,8 and Under,168,168.0
2012,TERM 3,0734,Ceduna Area School,9-12 Years,206,206.0
2012,TERM 3,0714,Challa Gardens Primary School,13-17 years,3,3.0
2012,TERM 3,0714,Challa Gardens Primary School,8 and Under,177,177.0
2012,TERM 3,0714,Challa Gardens Primary School,9-12 Years,183,183.0
2012,TERM 3,1028,Charles Campbell College,13-17 years,929,925.0
2012,TERM 3,1028,Charles Campbell College,18 and Over,49,48.4
2012,TERM 3,1028,Charles Campbell College,8 and Under,84,84.0
2012,TERM 3,1028,Charles Campbell College,9-12 Years,105,105.0
2012,TERM 3,1019,Christie Downs Primary School,13-17 years,5,5.0
2012,TERM 3,1019,Christie Downs Primary School,8 and Under,138,138.0
2012,TERM 3,1019,Christie Downs Primary School,9-12 Years,114,113.8
2012,TERM 3,1013,Christies Beach HS & Sth Voc College,13-17 years,1001,925.6
2012,TERM 3,1013,Christies Beach HS & Sth Voc College,18 and Over,328,277.8
2012,TERM 3,0921,Christies Beach Primary School,13-17 years,12,12.0
2012,TERM 3,0921,Christies Beach Primary School,8 and Under,161,161.0
2012,TERM 3,0921,Christies Beach Primary School,9-12 Years,209,208.5
2012,TERM 3,0952,Clapham Primary School,13-17 years,5,5.0
2012,TERM 3,0952,Clapham Primary School,8 and Under,119,119.0
2012,TERM 3,0952,Clapham Primary School,9-12 Years,120,120.0
2012,TERM 3,0773,Clare High School,13-17 years,425,421.5
2012,TERM 3,0773,Clare High School,18 and Over,15,14.0
2012,TERM 3,0773,Clare High School,9-12 Years,37,37.0
2012,TERM 3,0719,Clare Primary School,8 and Under,126,126.0
2012,TERM 3,0719,Clare Primary School,9-12 Years,100,100.0
2012,TERM 3,0720,Clarendon Primary School,13-17 years,2,2.0
2012,TERM 3,0720,Clarendon Primary School,8 and Under,42,42.0
2012,TERM 3,0720,Clarendon Primary School,9-12 Years,29,29.0
2012,TERM 3,0753,Cleve Area School,13-17 years,94,94.0
2012,TERM 3,0753,Cleve Area School,18 and Over,4,4.0
2012,TERM 3,0753,Cleve Area School,8 and Under,89,89.0
2012,TERM 3,0753,Cleve Area School,9-12 Years,103,103.0
2012,TERM 3,0932,Clovelly Park Primary School,13-17 years,11,11.0
2012,TERM 3,0932,Clovelly Park Primary School,8 and Under,201,201.0
2012,TERM 3,0932,Clovelly Park Primary School,9-12 Years,165,165.0
2012,TERM 3,0721,Cobdogla Primary School,13-17 years,2,2.0
2012,TERM 3,0721,Cobdogla Primary School,8 and Under,34,34.0
2012,TERM 3,0721,Cobdogla Primary School,9-12 Years,34,34.0
2012,TERM 3,0723,Colonel Light Gardens Primary School,13-17 years,10,10.0
2012,TERM 3,0723,Colonel Light Gardens Primary School,8 and Under,371,371.0
2012,TERM 3,0723,Colonel Light Gardens Primary School,9-12 Years,250,250.0
2012,TERM 3,0724,Compton Primary School,13-17 years,5,5.0
2012,TERM 3,0724,Compton Primary School,8 and Under,47,47.0
2012,TERM 3,0724,Compton Primary School,9-12 Years,41,41.0
2012,TERM 3,0920,Coober Pedy Area School,13-17 years,81,80.8
2012,TERM 3,0920,Coober Pedy Area School,18 and Over,5,4.6
